id,timestamp,merchant,category,amount,currency,status,payment_method
TXN2025000000,2025-10-03T21:03:27Z,Cult.fit,Health,912.62,INR,SUCCESS,Credit Card
TXN2025000001,2026-01-28T13:41:04Z,HDFC Ergo,Insurance,5446.06,INR,FAILED,Netbanking
TXN2025000002,1768265109000,Domino's,Food & Dining,143.0,INR,SUCCESS,UPI
TXN2025000003,2026-01-28T09:43:21Z,BPCL,Fuel,1295.35,INR,SUCCESS,Credit Card
TXN2025000004,2025-07-03,Airtel,Utilities,2144.58,INR,SUCCESS,Credit Card
TXN2025000005,2025-09-22,upGrad,Education,23820.0,INR,SUCCESS,Debit Card
TXN2025000006,2026-05-25T21:43:12Z,Flipkart,Shopping,1986.0,INR,SUCCESS,Debit Card
TXN2025000007,2026-07-13T16:35:46Z,Domino's,Food & Dining,689.19,INR,SUCCESS,UPI
TXN2025000008,2026-06-09T15:30:30Z,BPCL,Fuel,1672.71,INR,SUCCESS,Credit Card
TXN2025000009,2026-04-27T00:01:09Z,BYJU'S,Education,4755.05,INR,PENDING,UPI
TXN2025000010,1766522125000,MakeMyTrip,Travel,7825.06,INR,SUCCESS,Debit Card
TXN2025000011,12/10/2025 16:24:49,Croma,Shopping,6883.0,INR,SUCCESS,UPI
TXN2025000012,2025-10-03T20:18:11Z,1mg,Health,4499.6,INR,SUCCESS,Netbanking
TXN2025000013,2026-03-25T06:08:03+05:30,BookMyShow,Entertainment,783.65,INR,PENDING,Credit Card
TXN2025000014,2025-07-22T11:52:46Z,Unacademy,Education,18510.59,INR,SUCCESS,UPI
TXN2025000015,2026-06-20T15:02:43+05:30,DMart,Groceries,2586.0,INR,SUCCESS,Debit Card
TXN2025000016,1781995324000,IRCTC,Travel,5967.86,INR,SUCCESS,Netbanking
TXN2025000017,2026-02-04T00:19:48+05:30,Nykaa,Shopping,5025.0,INR,SUCCESS,Debit Card
TXN2025000018,2025-12-02T21:10:57Z,HDFC Ergo,Insurance,24006.56,INR,SUCCESS,Credit Card
TXN2025000019,2025-07-19T01:39:23Z,Ajio,Shopping,9343.0,INR,SUCCESS,Credit Card
TXN2025000020,2026-02-17T09:26:06Z,Cult.fit,Health,1245.88,INR,PENDING,Netbanking
TXN2025000021,2025-10-06T15:20:57+05:30,BookMyShow,Entertainment,1549.93,INR,SUCCESS,UPI
TXN2025000022,2026-01-25,Unacademy,Education,39918.7,INR,FAILED,Debit Card
TXN2025000023,2025-08-31T10:08:13+05:30,Udemy,Education,19368.0,INR,SUCCESS,UPI
TXN2025000024,2026-01-11,LIC Premium,Insurance,35220.0,INR,SUCCESS,Credit Card
TXN2025000025,1761322345000,Indian Oil,Fuel,4150.51,INR,SUCCESS,Credit Card
TXN2025000026,2026-07-06,Nykaa,Shopping,6949.0,INR,SUCCESS,UPI
TXN2025000027,2026-06-26T14:19:36Z,1mg,Health,2370.0,INR,SUCCESS,Debit Card
TXN2025000028,2026-07-03T12:42:30Z,IndiGo,Travel,709.74,INR,SUCCESS,UPI
